datetime,shape,duration (seconds),latitude,longitude 
04/10/10,fireball,45,51.5,0.3
08/13/12,chevron,7,51.481581,-3.17909
05/11/10,cylinder,300,51.466667,-0.35
03/20/10,egg,180,51.45,-2.583333
05/30/10,rectangle,60,51.45,-2.583333
12/12/11,sphere,60,51.45,-2.583333
06/01/13,light,600,51.45,-2.583333
09/27/13,unknown,30,51.45,-2.583333
12/10/13,disk,900,51.45,-2.583333
03/24/12,light,10,51.435475,0.041365
12/09/10,light,240,51.433333,-1
05/13/12,circle,60,51.433333,-1
08/05/13,light,420,51.43148,-0.515525
07/25/10,other,60,51.424085,-0.617771
03/12/14,unknown,3600,51.422892,5.557136
11/04/13,light,20,51.416667,-0.75
05/23/10,rectangle,300,51.4,-0.1
10/09/13,diamond,900,51.386322,0.551438
10/09/13,diamond,900,51.386322,0.551438
04/08/13,circle,40,51.383333,-0.1
04/10/10,disk,10,51.371196,-104.297424
08/17/12,circle,300,51.370489,6.172386
11/18/12,other,300,51.35,0.1
07/10/11,disk,59,51.348043,0.595732
12/29/13,fireball,10,51.341158,-0.825203
10/10/11,oval,300,51.316667,-0.266667
03/06/13,light,600,51.315994,0.889358
05/20/12,disk,300,51.282376,-114.841158
09/01/10,light,15,51.266667,-114.016667
03/17/11,formation,10,51.266667,-114.016667
